2018-01-1917:38:19.880INFO[main][io.hops.examples.hive.HiveJDBCClient][getHiveJDBCConnection][io.hops.examples.hive.HiveJDBCClient.getHiveJDBCConnection(HiveJDBCClient.java:65)]-Reading hive credentials from properties file
2018-01-1917:38:19.882INFO[main][io.hops.examples.hive.HiveJDBCClient][getHiveJDBCConnection][io.hops.examples.hive.HiveJDBCClient.getHiveJDBCConnection(HiveJDBCClient.java:67)]-Establishing connection to Hive server at:jdbc:hive2://hops.site:9084
2018-01-1917:38:19.936INFO[main][org.apache.hive.jdbc.Utils][parseURL][org.apache.hive.jdbc.Utils.parseURL(Utils.java:325)]-Supplied authorities: hops.site:9084
2018-01-1917:38:19.939INFO[main][org.apache.hive.jdbc.Utils][parseURL][org.apache.hive.jdbc.Utils.parseURL(Utils.java:444)]-Resolved authority: hops.site:9084
2018-01-1917:38:20.678INFO[main][io.hops.examples.hive.HiveJDBCClient][getHiveJDBCConnection][io.hops.examples.hive.HiveJDBCClient.getHiveJDBCConnection(HiveJDBCClient.java:74)]-Connection established!
2018-01-1917:38:37.246INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:46)]-City 	 Price
2018-01-1917:38:37.303INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-ANTELOPE	232496.39393939395
2018-01-1917:38:37.304INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-AUBURN	405890.8
2018-01-1917:38:37.304INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-CAMERON PARK	267944.44444444444
2018-01-1917:38:37.304INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-CARMICHAEL	295684.75
2018-01-1917:38:37.304INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-CITRUS HEIGHTS	187114.91428571427
2018-01-1917:38:37.305INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-COOL	300000.0
2018-01-1917:38:37.305INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-DIAMOND SPRINGS	216033.0
2018-01-1917:38:37.305INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-EL DORADO	247000.0
2018-01-1917:38:37.305INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-EL DORADO HILLS	491698.95652173914
2018-01-1917:38:37.305INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-ELK GROVE	271157.6929824561
2018-01-1917:38:37.306INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-ELVERTA	132866.0
2018-01-1917:38:37.306INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-FAIR OAKS	303500.6666666667
2018-01-1917:38:37.306INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-FOLSOM	414960.17647058825
2018-01-1917:38:37.306INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-FORESTHILL	194818.0
2018-01-1917:38:37.306INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-GALT	236943.42857142858
2018-01-1917:38:37.307INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-GARDEN VALLEY	490000.0
2018-01-1917:38:37.307INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-GOLD RIVER	358000.0
2018-01-1917:38:37.307INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-GRANITE BAY	678733.3333333334
2018-01-1917:38:37.307INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-GREENWOOD	395000.0
2018-01-1917:38:37.307INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-LINCOLN	96539.26388888889
2018-01-1917:38:37.308INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-LOOMIS	567000.0
2018-01-1917:38:37.308INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-MATHER	237800.0
2018-01-1917:38:37.308INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-MEADOW VISTA	230000.0
2018-01-1917:38:37.308INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-NORTH HIGHLANDS	135659.33333333334
2018-01-1917:38:37.308INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-ORANGEVALE	279159.54545454547
2018-01-1917:38:37.308INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-PENRYN	506688.0
2018-01-1917:38:37.309INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-PLACERVILLE	363863.4
