Rank,WeeklyGross,PctChangeWkGross,Theaters,DeltaTheaters,AvgRev,GrossToDate,Week,Thursday,name,year,Winner
17.0,967378,,14.0,,69098.0,967378,1,1990-11-18,dances with wolves,1990,True
9.0,3871641,300.0,14.0,,276546.0,4839019,2,1990-11-25,dances with wolves,1990,True
3.0,12547813,224.0,1048.0,1034.0,11973.0,17386832,3,1990-12-02,dances with wolves,1990,True
4.0,9246632,-26.3,1053.0,5.0,8781.0,26633464,4,1990-12-09,dances with wolves,1990,True
4.0,7272350,-21.4,1051.0,-2.0,6919.0,33905814,5,1990-12-16,dances with wolves,1990,True
4.0,6456867,-11.2,1196.0,145.0,5399.0,40362681,6,1990-12-23,dances with wolves,1990,True
4.0,9301126,44.1,1254.0,58.0,7417.0,49663807,7,1990-12-30,dances with wolves,1990,True
4.0,14154904,52.2,1269.0,15.0,11154.0,63818711,8,1991-01-06,dances with wolves,1990,True
4.0,10020961,-29.2,1282.0,13.0,7817.0,73839672,9,1991-01-13,dances with wolves,1990,True
5.0,7234933,-27.8,1285.0,3.0,5630.0,81074605,10,1991-01-20,dances with wolves,1990,True
4.0,7007328,-3.1,1301.0,16.0,5386.0,88081933,11,1991-01-27,dances with wolves,1990,True
4.0,5783004,-17.5,1302.0,1.0,4442.0,93864937,12,1991-02-03,dances with wolves,1990,True
2.0,6141945,6.2,1343.0,41.0,4573.0,100006882,13,1991-02-10,dances with wolves,1990,True
5.0,5533238,-9.9,1548.0,205.0,3574.0,105540120,14,1991-02-17,dances with wolves,1990,True
5.0,7522086,35.9,1554.0,6.0,4840.0,113062206,15,1991-02-24,dances with wolves,1990,True
5.0,5596752,-25.6,1602.0,48.0,3494.0,118658958,16,1991-03-03,dances with wolves,1990,True
4.0,5203021,-7.0,1608.0,6.0,3236.0,123861979,17,1991-03-10,dances with wolves,1990,True
6.0,4592552,-11.7,1572.0,-36.0,2921.0,128454531,18,1991-03-17,dances with wolves,1990,True
8.0,4107112,-10.6,1545.0,-27.0,2658.0,132561643,19,1991-03-24,dances with wolves,1990,True
3.0,6545293,59.4,1538.0,-7.0,4256.0,139106936,20,1991-03-31,dances with wolves,1990,True
3.0,7844491,19.8,1621.0,83.0,4839.0,146951427,21,1991-04-07,dances with wolves,1990,True
3.0,5310493,-32.3,1636.0,15.0,3246.0,152261920,22,1991-04-14,dances with wolves,1990,True
4.0,4507713,-15.1,1612.0,-24.0,2796.0,156769633,23,1991-04-21,dances with wolves,1990,True
5.0,3919016,-13.1,1625.0,13.0,2412.0,160688649,24,1991-04-28,dances with wolves,1990,True
8.0,2834963,-27.7,1597.0,-28.0,1775.0,163523612,25,1991-05-05,dances with wolves,1990,True
9.0,2515938,-11.3,1478.0,-119.0,1702.0,166039550,26,1991-05-12,dances with wolves,1990,True
11.0,1334833,-46.9,1358.0,-120.0,983.0,167374383,27,1991-05-19,dances with wolves,1990,True
7.0,2637999,97.6,1107.0,-251.0,2383.0,170012382,28,1991-05-26,dances with wolves,1990,True
13.0,1574002,-40.3,743.0,-364.0,2118.0,171586384,29,1991-06-02,dances with wolves,1990,True
17.0,607933,,12.0,,50661.0,607933,1,1990-12-30,awakenings,1990,False
17.0,633105,4.1,12.0,,52759.0,1241038,2,1991-01-06,awakenings,1990,False
15.0,539563,-14.8,12.0,,44964.0,1780601,3,1991-01-13,awakenings,1990,False
2.0,10769986,1896.0,1282.0,1270.0,8401.0,12550587,4,1991-01-20,awakenings,1990,False
2.0,9089009,-15.6,1311.0,29.0,6933.0,21639596,5,1991-01-27,awakenings,1990,False
2.0,6435604,-29.2,1325.0,14.0,4857.0,28075200,6,1991-02-03,awakenings,1990,False
